subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc,Conv2d-49,9,0.29445895552635193,0.3270348906517029,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,otc,Conv2d-49,9,0.37533413262452353,0.462394575078708,12,0.75,,,,,,
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,otc,Conv2d-49,9,0.4493456780910492,0.3446250259876251,12,0.75,,,,,,
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,otc,ReLU-49,12,0.2091374397277832,0.22164936363697052,12,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,otc,BatchNorm2d-51,5,0.341363935383617,0.4401551462140653,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,otc,BatchNorm2d-51,5,0.2969546616077423,0.3010028898715973,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.3933904767036438,0.3787369728088379,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,otc,Conv2d-49,9,0.36810340404230985,0.45716935194692154,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,9,0.3296733498573303,0.33646896481513977,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,crsa,otc,BatchNorm2d-39,3,-0.00997935514897108,0.1676892191171646,12,0.25,,,,,,
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,srpr,otc,BatchNorm2d-39,3,0.33398203847949004,0.38406603960511876,12,0.25,,,,,,
sub-01,ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,otc,BatchNorm2d-39,3,0.31333839893341064,0.28713366389274597,12,0.25,,,,,,
sub-01,ResNet50/JigSaw/P100_selfsupervised,crsa,otc,Conv2d-49,9,0.2963464558124542,0.2169399857521057,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/P100_selfsupervised,srpr,otc,ReLU-38,11,0.32584915981185614,0.39436135527689575,12,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/JigSaw/P100_selfsupervised,wrsa,otc,ReLU-38,11,0.2601073086261749,0.2913156747817993,12,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,crsa,otc,Conv2d-49,9,0.2718562185764313,0.27924269437789917,12,0.75,,,,,,
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,srpr,otc,Conv2d-49,9,0.373450386300737,0.45437709519279496,12,0.75,,,,,,
sub-01,ResNet50/MoCoV2/BS256_selfsupervised,wrsa,otc,Conv2d-49,9,0.39866623282432556,0.3364816904067993,12,0.75,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,crsa,otc,ReLU-49,12,0.3117399215698242,0.32948198914527893,12,1.0,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,srpr,otc,Conv2d-49,9,0.379224038264363,0.44798537648104847,12,0.75,,,,,,
sub-01,ResNet50/PIRL_selfsupervised,wrsa,otc,Conv2d-49,9,0.5198062062263489,0.32958126068115234,12,0.75,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,crsa,otc,Conv2d-49,9,0.1793423891067505,0.2001529037952423,12,0.75,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,srpr,otc,Conv2d-49,9,0.3310038712543309,0.39911628791338816,12,0.75,,,,,,
sub-01,ResNet50/RotNet_selfsupervised,wrsa,otc,ReLU-49,12,0.2360232174396515,0.2995518743991852,12,1.0,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.42123889923095703,0.3208272159099579,12,0.4166666666666667,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,srpr,otc,Conv2d-49,9,0.37124486011226243,0.45897087723176666,12,0.75,,,,,,
sub-01,ResNet50/SimCLR_selfsupervised,wrsa,otc,Conv2d-49,9,0.36420589685440063,0.3400592803955078,12,0.75,,,,,,
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,5,0.32793015241622925,0.2690301537513733,12,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,otc,Conv2d-49,9,0.37427191778304,0.45563897277591725,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,9,0.3349232077598572,0.33597227931022644,12,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
sub-01,ViT/B/CLIP_slip,crsa,otc,Linear-43,11,-0.12270904332399368,0.05818561837077141,12,0.9166666666666666,,,,,,
sub-01,ViT/B/CLIP_slip,srpr,otc,Linear-27,7,0.36384212834624524,0.44166612890734935,12,0.5833333333333334,,,,,,
sub-01,ViT/B/CLIP_slip,wrsa,otc,Linear-27,7,0.44562625885009766,0.30809876322746277,12,0.5833333333333334,,,,,,
sub-01,ViT/B/SLIP_slip,crsa,otc,Linear-27,7,0.04681282117962837,0.09281288832426071,12,0.5833333333333334,,,,,,
sub-01,ViT/B/SLIP_slip,srpr,otc,LayerNorm-25,6,0.35947541432453856,0.43600428826783744,12,0.5,,,,,,
sub-01,ViT/B/SLIP_slip,wrsa,otc,LayerNorm-25,6,0.3987668454647064,0.3246428370475769,12,0.5,,,,,,
sub-01,ViT/B/SimCLR_slip,crsa,otc,LayerNorm-25,6,-0.01749582588672638,0.10384029150009155,12,0.5,,,,,,
sub-01,ViT/B/SimCLR_slip,srpr,otc,LayerNorm-25,6,0.3286904429232151,0.437318381112202,12,0.5,,,,,,
sub-01,ViT/B/SimCLR_slip,wrsa,otc,LayerNorm-25,6,0.3799094557762146,0.31803208589553833,12,0.5,,,,,,
sub-01,ViT/L/CLIP_slip,crsa,otc,Linear-58,7,0.18241199851036072,0.10066608339548111,11,0.6363636363636364,,,,,,
sub-01,ViT/L/CLIP_slip,srpr,otc,LayerNorm-25,2,0.34149451245729867,0.42253087340244844,11,0.18181818181818182,,,,,,
sub-01,ViT/L/CLIP_slip,wrsa,otc,Linear-53,6,0.4043405055999756,0.3026300072669983,11,0.5454545454545454,,,,,,
sub-01,ViT/L/SLIP_slip,crsa,otc,Linear-94,11,0.18512317538261414,0.23274604976177216,11,1.0,,,,,,
sub-01,ViT/L/SLIP_slip,srpr,otc,LayerNorm-49,5,0.33241303140562517,0.43282252944556726,11,0.45454545454545453,,,,,,
sub-01,ViT/L/SLIP_slip,wrsa,otc,Linear-94,11,0.38692280650138855,0.3176013231277466,11,1.0,,,,,,
sub-01,ViT/L/SimCLR_slip,crsa,otc,Linear-76,9,0.12588262557983398,0.16727885603904724,11,0.8181818181818182,,,,,,
sub-01,ViT/L/SimCLR_slip,srpr,otc,Linear-67,8,0.33433246891378987,0.4331680401020072,11,0.7272727272727273,,,,,,
sub-01,ViT/L/SimCLR_slip,wrsa,otc,Linear-89,10,0.48323196172714233,0.3086043894290924,11,0.9090909090909091,,,,,,
sub-01,ViT/S/CLIP_slip,crsa,otc,Linear-39,10,-0.15839655697345734,0.12418244779109955,12,0.8333333333333334,,,,,,
sub-01,ViT/S/CLIP_slip,srpr,otc,Linear-31,8,0.3562747931515568,0.4353092208877094,12,0.6666666666666666,,,,,,
sub-01,ViT/S/CLIP_slip,wrsa,otc,Linear-31,8,0.34230130910873413,0.31919342279434204,12,0.6666666666666666,,,,,,
sub-01,ViT/S/SLIP_slip,crsa,otc,Linear-31,8,0.12718947231769562,0.1423535943031311,12,0.6666666666666666,,,,,,
sub-01,ViT/S/SLIP_slip,srpr,otc,LayerNorm-25,6,0.3426991484149074,0.43933819483096664,12,0.5,,,,,,
sub-01,ViT/S/SLIP_slip,wrsa,otc,LayerNorm-25,6,0.3582111597061157,0.3196578919887543,12,0.5,,,,,,
sub-01,ViT/S/SimCLR_slip,crsa,otc,LayerNorm-25,6,0.287834495306015,0.15786202251911163,12,0.5,,,,,,
sub-01,ViT/S/SimCLR_slip,srpr,otc,Linear-39,10,0.3521664056170353,0.4412545883514745,12,0.8333333333333334,,,,,,
sub-01,ViT/S/SimCLR_slip,wrsa,otc,Linear-39,10,0.4285871386528015,0.31491270661354065,12,0.8333333333333334,,,,,,
sub-01,alexnet_classification,crsa,otc,MaxPool2d-3,4,0.22565850615501404,0.28097987174987793,8,0.5,,,,,,
sub-01,alexnet_classification,srpr,otc,MaxPool2d-3,4,0.3217996172187906,0.4203052606019274,8,0.5,,,,,,
sub-01,alexnet_classification,wrsa,otc,Linear-3,3,0.17822368443012238,0.2834194302558899,8,0.375,,,,,,
sub-01,alexnet_gn_ipcl_imagenet,crsa,otc,GroupNorm-5,3,0.4421750009059906,0.355622261762619,12,0.25,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_imagenet,srpr,otc,BatchNorm1d-1,0,0.34516486548359504,0.3998695607206255,12,0.0,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_imagenet,wrsa,otc,BatchNorm1d-1,0,0.5467846393585205,0.2608228921890259,12,0.0,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,crsa,otc,GroupNorm-5,3,0.4437028765678406,0.3169683814048767,12,0.25,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,srpr,otc,MaxPool2d-3,7,0.34204840367066125,0.3840918967723514,12,0.5833333333333334,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_openimages,wrsa,otc,MaxPool2d-3,7,0.555968701839447,0.24287152290344238,12,0.5833333333333334,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,crsa,otc,GroupNorm-5,3,0.3890489339828491,0.2577003836631775,12,0.25,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,srpr,otc,MaxPool2d-3,7,0.337154107736096,0.3602657164204638,12,0.5833333333333334,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_places256,wrsa,otc,MaxPool2d-3,7,0.521086573600769,0.2195366472005844,12,0.5833333333333334,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,crsa,otc,ReLU-4,9,0.5348353385925293,0.3198855221271515,12,0.75,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,srpr,otc,ReLU-6,11,0.2598987553196287,0.28181125906698545,12,0.9166666666666666,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,alexnet_gn_ipcl_vggface2,wrsa,otc,Conv2d-5,2,0.6088389158248901,0.18284118175506592,12,0.16666666666666666,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
sub-01,autoencoding_taskonomy,crsa,otc,Conv2d-28,3,0.037800829857587814,0.055596284568309784,10,0.3,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,autoencoding_taskonomy,srpr,otc,Conv2d-28,3,0.14313607801461306,0.11071954481743027,10,0.3,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,autoencoding_taskonomy,wrsa,otc,ReLU-45,10,-0.05161694809794426,0.03850797936320305,10,1.0,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
sub-01,class_object_taskonomy,crsa,otc,Conv2d-47,6,0.061792291700839996,0.15972836315631866,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_object_taskonomy,srpr,otc,Conv2d-47,6,0.29942557281612187,0.3432900805733365,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_object_taskonomy,wrsa,otc,Conv2d-47,6,0.41463378071784973,0.19493229687213898,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_scene_taskonomy,crsa,otc,Conv2d-47,6,0.008561167865991592,0.12360062450170517,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_scene_taskonomy,srpr,otc,Conv2d-47,6,0.2897959714144277,0.33566279096204177,10,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,class_scene_taskonomy,wrsa,otc,Conv2d-44,5,0.402700811624527,0.18205387890338898,10,0.5,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
sub-01,coat_lite_tiny_classification,crsa,otc,Conv2d-58,0,0.13200128078460693,0.1635797619819641,10,0.0,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
sub-01,coat_lite_tiny_classification,srpr,otc,LayerNorm-16,6,0.35813184137566184,0.44556561685218976,10,0.6,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
sub-01,coat_lite_tiny_classification,wrsa,otc,LayerNorm-16,6,0.3687942624092102,0.3159359097480774,10,0.6,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
